reg;jour;n_dose1;n_complet;n_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;couv_dose1;couv_complet;couv_rappel
01;2020-12-27;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-28;1;0;0;1;0;0;0.0;0.0;0.0
01;2020-12-29;0;0;0;1;0;0;0.0;0.0;0.0
01;2020-12-30;0;0;0;1;0;0;0.0;0.0;0.0
01;2020-12-31;0;0;0;1;0;0;0.0;0.0;0.0
01;2021-01-01;2;0;0;3;0;0;0.0;0.0;0.0
01;2021-01-02;0;0;0;3;0;0;0.0;0.0;0.0
01;2021-01-03;1;0;0;4;0;0;0.0;0.0;0.0
01;2021-01-04;1;0;0;5;0;0;0.0;0.0;0.0
01;2021-01-05;7;0;0;12;0;0;0.0;0.0;0.0
01;2021-01-06;7;0;0;19;0;0;0.0;0.0;0.0
01;2021-01-07;6;0;0;25;0;0;0.0;0.0;0.0
01;2021-01-08;57;1;0;82;1;0;0.0;0.0;0.0
01;2021-01-09;16;0;0;98;1;0;0.0;0.0;0.0
01;2021-01-10;0;0;0;98;1;0;0.0;0.0;0.0
01;2021-01-11;63;1;0;161;2;0;0.0;0.0;0.0
01;2021-01-12;49;0;0;210;2;0;0.1;0.0;0.0
01;2021-01-13;38;0;0;248;2;0;0.1;0.0;0.0
01;2021-01-14;64;0;0;312;2;0;0.1;0.0;0.0
01;2021-01-15;67;2;0;379;4;0;0.1;0.0;0.0
01;2021-01-16;1;0;0;380;4;0;0.1;0.0;0.0
01;2021-01-17;3;0;0;383;4;0;0.1;0.0;0.0
01;2021-01-18;80;2;0;463;6;0;0.1;0.0;0.0
01;2021-01-19;145;1;0;608;7;0;0.2;0.0;0.0
01;2021-01-20;132;0;0;740;7;0;0.2;0.0;0.0
01;2021-01-21;163;1;0;903;8;0;0.2;0.0;0.0
01;2021-01-22;123;0;0;1026;8;0;0.3;0.0;0.0
01;2021-01-23;3;0;0;1029;8;0;0.3;0.0;0.0
01;2021-01-24;1;0;0;1030;8;0;0.3;0.0;0.0
01;2021-01-25;173;2;0;1203;10;0;0.3;0.0;0.0
01;2021-01-26;209;3;0;1412;13;0;0.4;0.0;0.0
01;2021-01-27;222;2;0;1634;15;0;0.4;0.0;0.0
01;2021-01-28;207;3;0;1841;18;0;0.5;0.0;0.0
01;2021-01-29;159;2;0;2000;20;0;0.5;0.0;0.0
01;2021-01-30;23;2;0;2023;22;0;0.5;0.0;0.0
01;2021-01-31;2;0;0;2025;22;0;0.5;0.0;0.0
