"date_fin_semaine","type_de_vaccin","nb_ucd","nb_doses"
"2021-02-07","AstraZeneca",27360,273600
"2021-02-14","AstraZeneca",31680,316800
"2021-02-21","AstraZeneca",54720,547200
"2021-02-28","AstraZeneca",0,0
"2021-03-07","AstraZeneca",47100,471000
"2021-03-14","AstraZeneca",74400,744000
"2021-03-21","AstraZeneca",31920,319200
"2021-03-28","AstraZeneca",14640,146400
"2021-04-04","AstraZeneca",15600,156000
"2021-04-11","AstraZeneca",146400,1464000
"2021-04-18","AstraZeneca",19200,192000
"2021-04-25","AstraZeneca",47520,475200
"2021-05-02","AstraZeneca",10980,109800
"2021-05-09","AstraZeneca",217680,2176800
"2021-05-16","AstraZeneca",0,0
"2021-05-23","AstraZeneca",36460,364600
"2021-05-30","AstraZeneca",47000,470000
"2021-06-06","AstraZeneca",0,0
"2021-04-18","Janssen",0,0
"2021-04-25","Janssen",20640,206400
"2021-05-02","Janssen",0,0
"2021-05-09","Janssen",18000,180000
"2021-05-16","Janssen",0,0
"2021-05-23","Janssen",19800,198000
"2021-05-30","Janssen",66000,660000
"2021-06-06","Janssen",54000,540000
"2021-01-10","Moderna",0,0
"2021-01-17","Moderna",5160,51600
"2021-01-24","Moderna",0,0
"2021-01-31","Moderna",0,0
"2021-02-07","Moderna",7440,74400
"2021-02-14","Moderna",14760,147600
"2021-02-21","Moderna",0,0
"2021-02-28","Moderna",0,0
"2021-03-07","Moderna",27720,277200
"2021-03-14","Moderna",0,0
"2021-03-21","Moderna",37200,372000
"2021-03-28","Moderna",0,0
"2021-04-04","Moderna",17160,171600
"2021-04-11","Moderna",38520,385200
"2021-04-18","Moderna",46560,465600
"2021-04-25","Moderna",0,0
"2021-05-02","Moderna",26640,266400
"2021-05-09","Moderna",30360,303600
"2021-05-16","Moderna",44400,444000
"2021-05-23","Moderna",44400,444000
"2020-12-27","Pfizer",9750,48750
"2021-01-03","Pfizer",17160,85800
"2021-01-10","Pfizer",91248,456240
"2021-01-17","Pfizer",100353,501765
"2021-01-24","Pfizer",80805,456870
"2021-01-31","Pfizer",102189,589725
"2021-02-07","Pfizer",94074,546030
"2021-02-14","Pfizer",114422,650305
"2021-02-21","Pfizer",126340,730175
"2021-02-28","Pfizer",126721,745340
"2021-03-07","Pfizer",139788,826860
"2021-03-14","Pfizer",130947,777585
"2021-03-21","Pfizer",138385,825695
"2021-03-28","Pfizer",192270,1153620
"2021-04-04","Pfizer",216898,1289045
"2021-04-11","Pfizer",317610,1894590
"2021-04-18","Pfizer",295552,1764410
"2021-04-25","Pfizer",301668,1798305
"2021-05-02","Pfizer",406363,2428055
"2021-05-09","Pfizer",421443,2520225
"2021-05-16","Pfizer",403260,2419560
"2021-05-23","Pfizer",398970,2393820
"2021-05-30","Pfizer",403065,2418390
"2021-06-06","Pfizer",653445,3920670
"2021-06-13","Pfizer",656955,3941730
"2021-06-20","Pfizer",656955,3941730
"2021-06-27","Pfizer",656955,3941730
"2021-07-04","Pfizer",656955,3941730
"2021-07-11","Pfizer",425880,2555280
"2021-07-18","Pfizer",425880,2555280
"2021-07-25","Pfizer",425880,2555280
"2021-08-01","Pfizer",425880,2555280
"2021-08-08","Pfizer",425880,2555280
"2021-08-15","Pfizer",425880,2555280
"2021-08-22","Pfizer",425880,2555280
"2021-08-29","Pfizer",425880,2555280
"2021-09-05","Pfizer",425880,2555280
"2021-09-12","Pfizer",425880,2555280
"2021-09-19","Pfizer",425880,2555280
"2021-09-26","Pfizer",425880,2555280
"2021-10-03","Pfizer",425880,2555280
"2021-10-10","Pfizer",259350,1556100
"2021-10-17","Pfizer",259350,1556100
"2021-10-24","Pfizer",259350,1556100
"2021-10-31","Pfizer",259350,1556100
"2021-11-07","Pfizer",259350,1556100
"2021-11-14","Pfizer",259350,1556100
"2021-11-21","Pfizer",259350,1556100
"2021-11-28","Pfizer",259350,1556100
"2021-12-05","Pfizer",259350,1556100
"2021-12-12","Pfizer",259350,1556100
"2021-12-19","Pfizer",259350,1556100
"2021-12-26","Pfizer",259350,1556100
"2022-01-02","Pfizer",259350,1556100
